Job Zone,Occupation,Data-level,Code,cps_code
4,Mechatronics Engineers,Y,17-2199.05,1530
5,Microsystems Engineers,Y,17-2199.06,1530
4,Photonics Engineers,Y,17-2199.07,1530
4,Robotics Engineers,Y,17-2199.08,1530
5,Nanosystems Engineers,Y,17-2199.09,1530
4,Wind Energy Engineers,Y,17-2199.10,1530
4,Solar Energy Systems Engineers,Y,17-2199.11,1530
3,Architectural and Civil Drafters,Y,17-3011.00,1541
3,Electrical and Electronics Drafters,Y,17-3012.00,1545
3,Mechanical Drafters,Y,17-3013.00,1545
,"Drafters, All Other",,17-3019.00,1545
3,Aerospace Engineering and Operations Technologists and Technicians,Y,17-3021.00,1555
3,Civil Engineering Technologists and Technicians,Y,17-3022.00,1555
3,Electrical and Electronic Engineering Technologists and Technicians,Y,17-3023.00,1551
3,Electro-Mechanical and Mechatronics Technologists and Technicians,Y,17-3024.00,1555
3,Robotics Technicians,Y,17-3024.01,1555
4,Environmental Engineering Technologists and Technicians,Y,17-3025.00,1555
3,Industrial Engineering Technologists and Technicians,Y,17-3026.00,1555
4,Nanotechnology Engineering Technologists and Technicians,Y,17-3026.01,1555
3,Mechanical Engineering Technologists and Technicians,Y,17-3027.00,1555
3,Automotive Engineering Technicians,Y,17-3027.01,1555
3,Calibration Technologists and Technicians,Y,17-3028.00,1555
,"Engineering Technologists and Technicians, Except Drafters, All Other",,17-3029.00,1555
2,Non-Destructive Testing Specialists,Y,17-3029.01,1555
3,Photonics Technicians,Y,17-3029.08,1555
3,Surveying and Mapping Technicians,Y,17-3031.00,1560
5,Animal Scientists,Y,19-1011.00,1600
4,Food Scientists and Technologists,Y,19-1012.00,1600
5,Soil and Plant Scientists,Y,19-1013.00,1600
5,Biochemists and Biophysicists,Y,19-1021.00,1610
4,Microbiologists,Y,19-1022.00,1610
4,Zoologists and Wildlife Biologists,Y,19-1023.00,1610
,"Biological Scientists, All Other",,19-1029.00,1610
5,Bioinformatics Scientists,Y,19-1029.01,1610
5,Molecular and Cellular Biologists,Y,19-1029.02,1610
5,Geneticists,Y,19-1029.03,1610
5,Biologists,Y,19-1029.04,1610
4,Conservation Scientists,Y,19-1031.00,1640
4,Range Managers,Y,19-1031.02,1640
4,Park Naturalists,Y,19-1031.03,1640
4,Foresters,Y,19-1032.00,1640
5,Epidemiologists,Y,19-1041.00,1650
5,"Medical Scientists, Except Epidemiologists",Y,19-1042.00,1650
,"Life Scientists, All Other",,19-1099.00,1660
5,Astronomers,Y,19-2011.00,1700
5,Physicists,Y,19-2012.00,1700
4,Atmospheric and Space Scientists,Y,19-2021.00,1710
4,Chemists,Y,19-2031.00,1720
4,Materials Scientists,Y,19-2032.00,1720
4,"Environmental Scientists and Specialists, Including Health",Y,19-2041.00,1745
5,Climate Change Policy Analysts,Y,19-2041.01,1745
5,Environmental Restoration Planners,Y,19-2041.02,1745
5,Industrial Ecologists,Y,19-2041.03,1745
5,"Geoscientists, Except Hydrologists and Geographers",Y,19-2042.00,1750
5,Hydrologists,Y,19-2043.00,1750
,"Physical Scientists, All Other",,19-2099.00,1760
4,Remote Sensing Scientists and Technologists,Y,19-2099.01,1760
